[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]  744    0    0   73 / 1000    32.7s test_prop_MultiPreserve (collecting)
[ ]  745    0    0   73 / 1000    33.4s test_prop_MultiPreserve (collecting)
[ ]  772    0    0   75 / 1000    34.3s test_prop_MultiPreserve (collecting)
[ ]  806    0    0   76 / 1000    36.6s test_prop_MultiPreserve (collecting)
[ ]  823    0    0   77 / 1000    36.8s test_prop_MultiPreserve (collecting)
[ ]  835    0    0   77 / 1000    37.9s test_prop_MultiPreserve (collecting)
[ ]  852    0    0   78 / 1000    38.1s test_prop_MultiPreserve (collecting)
[ ]  867    0    0   82 / 1000    38.2s test_prop_MultiPreserve (collecting)
[ ]  896    0    0   85 / 1000    38.3s test_prop_MultiPreserve (collecting)
[ ]  913    0    0   86 / 1000    40.9s test_prop_MultiPreserve (collecting)
[ ]  941    0    0   89 / 1000    41.0s test_prop_MultiPreserve (collecting)
[ ]  968    0    0   94 / 1000    41.6s test_prop_MultiPreserve (collecting)
[ ]  994    0    0   95 / 1000    42.1s test_prop_MultiPreserve (collecting)
[ ] 1003    0    0   95 / 1000    42.2s test_prop_MultiPreserve (collecting)
[ ] 1010    0    0   95 / 1000    42.3s test_prop_MultiPreserve (collecting)
[ ] 1024    0    0   96 / 1000    42.4s test_prop_MultiPreserve (collecting)
[ ] 1034    0    0   96 / 1000    42.7s test_prop_MultiPreserve (collecting)
[ ] 1058    0    0   96 / 1000    42.8s test_prop_MultiPreserve (collecting)
[ ] 1062    0    0   97 / 1000    45.3s test_prop_MultiPreserve (collecting)
[ ] 1100    0    0  101 / 1000    45.4s test_prop_MultiPreserve (collecting)
[ ] 1125    0    0  104 / 1000    45.6s test_prop_MultiPreserve (collecting)
[ ] 1134    0    0  105 / 1000    45.8s test_prop_MultiPreserve (collecting)
[ ] 1155    0    0  105 / 1000    46.1s test_prop_MultiPreserve (collecting)
[ ] 1176    0    0  110 / 1000    46.2s test_prop_MultiPreserve (collecting)
[ ] 1198    0    0  111 / 1000    46.4s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0  111 / 1000    46.4s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 46266.62]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
