[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ] 1171    0    0   84 / 1000   124.4s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   84 / 1000   124.5s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 45371.45]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   24    0    0    3 / 1000     0.8s test_prop_SinglePreserve (collecting)
[ ]   56    0    0    4 / 1000     3.1s test_prop_SinglePreserve (collecting)
[ ]   63    0    0    4 / 1000     3.9s test_prop_SinglePreserve (collecting)
[ ]   82    0    0    5 / 1000     6.2s test_prop_SinglePreserve (collecting)
[ ]  107    0    0    9 / 1000     8.4s test_prop_SinglePreserve (collecting)
[ ]  130    0    0    9 / 1000    10.9s test_prop_SinglePreserve (collecting)
[ ]  137    0    0   11 / 1000    11.7s test_prop_SinglePreserve (collecting)
[ ]  149    0    0   11 / 1000    12.4s test_prop_SinglePreserve (collecting)
[ ]  195    0    0   14 / 1000    12.6s test_prop_SinglePreserve (collecting)
[ ]  207    0    0   17 / 1000    13.3s test_prop_SinglePreserve (collecting)
[ ]  229    0    0   20 / 1000    13.5s test_prop_SinglePreserve (collecting)
[ ]  254    0    0   27 / 1000    15.9s test_prop_SinglePreserve (collecting)
[ ]  282    0    0   27 / 1000    16.0s test_prop_SinglePreserve (collecting)
[ ]  283    0    0   27 / 1000    16.7s test_prop_SinglePreserve (collecting)
[ ]  298    0    0   30 / 1000    17.4s test_prop_SinglePreserve (collecting)
[ ]  308    0    0   31 / 1000    17.8s test_prop_SinglePreserve (collecting)
[ ]  311    0    0   31 / 1000    18.5s test_prop_SinglePreserve (collecting)
[ ]  327    0    0   33 / 1000    18.6s test_prop_SinglePreserve (collecting)
[ ]  335    0    0   33 / 1000    19.5s test_prop_SinglePreserve (collecting)
[ ]  342    0    0   33 / 1000    19.6s test_prop_SinglePreserve (collecting)
[ ]  361    0    0   36 / 1000    20.4s test_prop_SinglePreserve (collecting)
[ ]  364    0    0   36 / 1000    22.6s test_prop_SinglePreserve (collecting)
[ ]  366    0    0   36 / 1000    22.7s test_prop_SinglePreserve (collecting)
[ ]  370    0    0   36 / 1000    23.5s test_prop_SinglePreserve (collecting)
[ ]  409    0    0   41 / 1000    23.6s test_prop_SinglePreserve (collecting)
[ ]  445    0    0   43 / 1000    23.7s test_prop_SinglePreserve (collecting)
[ ]  457    0    0   45 / 1000    24.8s test_prop_SinglePreserve (collecting)
[ ]  484    0    0   46 / 1000    24.9s test_prop_SinglePreserve (collecting)
[ ]  505    0    0   48 / 1000    25.0s test_prop_SinglePreserve (collecting)
