[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]  128    0    0    6 / 1000     5.9s test_prop_SinglePreserve (collecting)
[ ]  134    0    0    7 / 1000     6.0s test_prop_SinglePreserve (collecting)
[ ]  146    0    0    7 / 1000     6.2s test_prop_SinglePreserve (collecting)
[ ]  148    0    0    7 / 1000     7.0s test_prop_SinglePreserve (collecting)
[ ]  170    0    0    8 / 1000     7.2s test_prop_SinglePreserve (collecting)
[ ]  198    0    0    9 / 1000     7.3s test_prop_SinglePreserve (collecting)
[ ]  207    0    0    9 / 1000     7.4s test_prop_SinglePreserve (collecting)
[ ]  219    0    0   10 / 1000     7.5s test_prop_SinglePreserve (collecting)
[ ]  239    0    0   12 / 1000     7.6s test_prop_SinglePreserve (collecting)
[ ]  258    0    0   13 / 1000     7.7s test_prop_SinglePreserve (collecting)
[ ]  260    0    0   13 / 1000    10.1s test_prop_SinglePreserve (collecting)
[ ]  261    0    0   13 / 1000    12.3s test_prop_SinglePreserve (collecting)
[ ]  265    0    0   13 / 1000    12.7s test_prop_SinglePreserve (collecting)
[ ]  274    0    0   15 / 1000    13.0s test_prop_SinglePreserve (collecting)
[ ]  296    0    0   17 / 1000    13.1s test_prop_SinglePreserve (collecting)
[ ]  315    0    0   19 / 1000    14.0s test_prop_SinglePreserve (collecting)
[ ]  351    0    0   21 / 1000    14.1s test_prop_SinglePreserve (collecting)
[ ]  376    0    0   22 / 1000    15.0s test_prop_SinglePreserve (collecting)
[ ]  388    0    0   22 / 1000    15.1s test_prop_SinglePreserve (collecting)
[ ]  415    0    0   23 / 1000    15.2s test_prop_SinglePreserve (collecting)
[ ]  421    0    0   24 / 1000    15.3s test_prop_SinglePreserve (collecting)
[ ]  427    0    0   24 / 1000    16.1s test_prop_SinglePreserve (collecting)
[ ]  476    0    0   29 / 1000    18.5s test_prop_SinglePreserve (collecting)
[ ]  484    0    0   29 / 1000    18.7s test_prop_SinglePreserve (collecting)
[ ]  512    0    0   32 / 1000    18.8s test_prop_SinglePreserve (collecting)
[ ]  520    0    0   32 / 1000    21.2s test_prop_SinglePreserve (collecting)
[ ]  524    0    0   33 / 1000    23.6s test_prop_SinglePreserve (collecting)
[ ]  534    0    0   33 / 1000    23.7s test_prop_SinglePreserve (collecting)
[ ]  545    0    0   34 / 1000    23.8s test_prop_SinglePreserve (collecting)
[ ]  557    0    0   35 / 1000    24.0s test_prop_SinglePreserve (collecting)
[ ]  581    0    0   37 / 1000    24.5s test_prop_SinglePreserve (collecting)
[ ]  592    0    0   38 / 1000    25.5s test_prop_SinglePreserve (collecting)
[ ]  606    0    0   39 / 1000    26.3s test_prop_SinglePreserve (collecting)
[ ]  660    0    0   47 / 1000    26.4s test_prop_SinglePreserve (collecting)
[ ]  672    0    0   47 / 1000    26.5s test_prop_SinglePreserve (collecting)
[ ]  696    0    0   49 / 1000    29.0s test_prop_SinglePreserve (collecting)
[ ]  698    0    0   49 / 1000    29.1s test_prop_SinglePreserve (collecting)
[ ]  718    0    0   49 / 1000    31.4s test_prop_SinglePreserve (collecting)
[ ]  729    0    0   49 / 1000    31.6s test_prop_SinglePreserve (collecting)
[ ]  774    0    0   53 / 1000    31.7s test_prop_SinglePreserve (collecting)
[ ]  781    0    0   54 / 1000    32.7s test_prop_SinglePreserve (collecting)
[ ]  788    0    0   55 / 1000    33.6s test_prop_SinglePreserve (collecting)
[ ]  793    0    0   55 / 1000    33.7s test_prop_SinglePreserve (collecting)
[ ]  832    0    0   60 / 1000    33.8s test_prop_SinglePreserve (collecting)
[ ]  850    0    0   61 / 1000    34.0s test_prop_SinglePreserve (collecting)
[ ]  903    0    0   66 / 1000    34.1s test_prop_SinglePreserve (collecting)
[ ]  906    0    0   67 / 1000    34.2s test_prop_SinglePreserve (collecting)
[ ]  924    0    0   69 / 1000    35.0s test_prop_SinglePreserve (collecting)
[ ]  939    0    0   70 / 1000    35.4s test_prop_SinglePreserve (collecting)
[ ]  953    0    0   72 / 1000    36.2s test_prop_SinglePreserve (collecting)
[ ]  966    0    0   74 / 1000    37.0s test_prop_SinglePreserve (collecting)
[ ]  972    0    0   74 / 1000    37.8s test_prop_SinglePreserve (collecting)
[ ]  994    0    0   77 / 1000    37.9s test_prop_SinglePreserve (collecting)
[ ]  995    0    0   77 / 1000    40.0s test_prop_SinglePreserve (collecting)
