[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]  939    0    0   91 / 1000    27.5s test_prop_SinglePreserve (collecting)
[ ]  946    0    0   91 / 1000    28.2s test_prop_SinglePreserve (collecting)
[ ]  978    0    0   92 / 1000    29.1s test_prop_SinglePreserve (collecting)
[ ] 1016    0    0   98 / 1000    29.2s test_prop_SinglePreserve (collecting)
[ ] 1034    0    0   98 / 1000    30.0s test_prop_SinglePreserve (collecting)
[ ] 1049    0    0   99 / 1000    30.7s test_prop_SinglePreserve (collecting)
[ ] 1061    0    0  100 / 1000    32.9s test_prop_SinglePreserve (collecting)
[ ] 1067    0    0  100 / 1000    35.6s test_prop_SinglePreserve (collecting)
[ ] 1091    0    0  104 / 1000    36.6s test_prop_SinglePreserve (collecting)
[ ] 1115    0    0  105 / 1000    36.7s test_prop_SinglePreserve (collecting)
[ ] 1146    0    0  108 / 1000    37.5s test_prop_SinglePreserve (collecting)
[ ] 1147    0    0  108 / 1000    39.9s test_prop_SinglePreserve (collecting)
[ ] 1162    0    0  109 / 1000    40.6s test_prop_SinglePreserve (collecting)
[ ] 1163    0    0  109 / 1000    42.8s test_prop_SinglePreserve (collecting)
[ ] 1181    0    0  109 / 1000    43.6s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0  110 / 1000    43.6s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 43528.90]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    3    0    0    1 / 1000     0.9s test_prop_SinglePreserve (collecting)
[ ]   26    0    0    1 / 1000     1.0s test_prop_SinglePreserve (collecting)
[ ]   46    0    0    3 / 1000     1.8s test_prop_SinglePreserve (collecting)
[ ]   59    0    0    5 / 1000     3.9s test_prop_SinglePreserve (collecting)
[ ]   74    0    0    6 / 1000     4.6s test_prop_SinglePreserve (collecting)
[ ]   75    0    0    6 / 1000     4.8s test_prop_SinglePreserve (collecting)
[ ]   79    0    0    6 / 1000     5.7s test_prop_SinglePreserve (collecting)
[ ]  101    0    0    7 / 1000     7.8s test_prop_SinglePreserve (collecting)
[ ]  102    0    0    7 / 1000     8.6s test_prop_SinglePreserve (collecting)
[ ]  149    0    0   10 / 1000     9.5s test_prop_SinglePreserve (collecting)
[ ]  175    0    0   11 / 1000     9.6s test_prop_SinglePreserve (collecting)
[ ]  192    0    0   14 / 1000     9.7s test_prop_SinglePreserve (collecting)
[ ]  214    0    0   16 / 1000    12.2s test_prop_SinglePreserve (collecting)
[ ]  215    0    0   16 / 1000    14.3s test_prop_SinglePreserve (collecting)
[ ]  226    0    0   16 / 1000    15.0s test_prop_SinglePreserve (collecting)
[ ]  241    0    0   19 / 1000    15.9s test_prop_SinglePreserve (collecting)
[ ]  288    0    0   23 / 1000    16.0s test_prop_SinglePreserve (collecting)
[ ]  292    0    0   23 / 1000    16.8s test_prop_SinglePreserve (collecting)
[ ]  298    0    0   24 / 1000    17.6s test_prop_SinglePreserve (collecting)
[ ]  306    0    0   25 / 1000    17.7s test_prop_SinglePreserve (collecting)
[ ]  334    0    0   26 / 1000    18.1s test_prop_SinglePreserve (collecting)
[ ]  360    0    0   27 / 1000    18.4s test_prop_SinglePreserve (collecting)
[ ]  361    0    0   27 / 1000    18.6s test_prop_SinglePreserve (collecting)
[ ]  381    0    0   30 / 1000    19.4s test_prop_SinglePreserve (collecting)
[ ]  391    0    0   31 / 1000    20.0s test_prop_SinglePreserve (collecting)
[ ]  404    0    0   32 / 1000    20.3s test_prop_SinglePreserve (collecting)
[ ]  408    0    0   32 / 1000    20.6s test_prop_SinglePreserve (collecting)
[ ]  421    0    0   32 / 1000    23.0s test_prop_SinglePreserve (collecting)
[ ]  429    0    0   32 / 1000    23.7s test_prop_SinglePreserve (collecting)
[ ]  435    0    0   33 / 1000    24.8s test_prop_SinglePreserve (collecting)
[ ]  437    0    0   33 / 1000    25.5s test_prop_SinglePreserve (collecting)
[ ]  439    0    0   33 / 1000    26.1s test_prop_SinglePreserve (collecting)
[ ]  447    0    0   33 / 1000    26.3s test_prop_SinglePreserve (collecting)
[ ]  454    0    0   34 / 1000    27.0s test_prop_SinglePreserve (collecting)
[ ]  465    0    0   34 / 1000    27.2s test_prop_SinglePreserve (collecting)
[ ]  466    0    0   34 / 1000    29.6s test_prop_SinglePreserve (collecting)
[ ]  475    0    0   34 / 1000    32.1s test_prop_SinglePreserve (collecting)
[ ]  489    0    0   35 / 1000    32.8s test_prop_SinglePreserve (collecting)
[ ]  499    0    0   37 / 1000    33.5s test_prop_SinglePreserve (collecting)
[ ]  528    0    0   40 / 1000    34.4s test_prop_SinglePreserve (collecting)
[ ]  537    0    0   40 / 1000    34.5s test_prop_SinglePreserve (collecting)
[ ]  562    0    0   43 / 1000    34.6s test_prop_SinglePreserve (collecting)
[ ]  579    0    0   44 / 1000    34.8s test_prop_SinglePreserve (collecting)
[ ]  585    0    0   44 / 1000    34.9s test_prop_SinglePreserve (collecting)
[ ]  590    0    0   44 / 1000    35.7s test_prop_SinglePreserve (collecting)
[ ]  591    0    0   44 / 1000    36.5s test_prop_SinglePreserve (collecting)
[ ]  596    0    0   46 / 1000    37.2s test_prop_SinglePreserve (collecting)
[ ]  605    0    0   46 / 1000    37.4s test_prop_SinglePreserve (collecting)
[ ]  641    0    0   49 / 1000    38.4s test_prop_SinglePreserve (collecting)
